Sample,Site,Breeding_pop
Ind288,ON,NT
Ind289,QB,NT
Ind290,QB,NT
Ind291,QB,NT
Ind292,QB,NT
Ind293,QB,NT
Ind294,QB,NT
Ind295,QB,NT
Ind296,SD,BR
Ind297,SD,BR
Ind298,SD,BR
Ind299,SD,BR
Ind300,SD,BR
Ind301,SD,BR
Ind302,SD,BR
Ind303,SD,BR
Ind304,SD,BR
Ind305,SD,BR
Ind306,SD,BR
Ind307,SD,BR
Ind308,SD,BR
Ind309,SK,WB
Ind310,SK,WB
Ind311,SK,WB
Ind312,SK,WB
Ind313,SK,WB
Ind314,SK,WB
Ind315,SK,WB
Ind316,SK,WB
